,name,fraction,vote,reason_no_show
0,Uwe Witt,fraktionslos,no_show,
1,Stefan Seidler,fraktionslos,abstain,
2,Johannes Huber,fraktionslos,no,
3,Matthias Helferich,fraktionslos,no,
4,Robert Farle,fraktionslos,no,
5,Joana Cotar,fraktionslos,no_show,
6,Janine Wissler,DIE LINKE.,abstain,
7,Sahra Wagenknecht,DIE LINKE.,no_show,
8,Kathrin Vogler,DIE LINKE.,abstain,
9,Alexander Ulrich,DIE LINKE.,no_show,
10,Jessica Tatti,DIE LINKE.,abstain,
11,Petra Sitte,DIE LINKE.,abstain,
12,Bernd Riexinger,DIE LINKE.,abstain,
13,Martina Renner,DIE LINKE.,abstain,
14,Heidi Reichinnek,DIE LINKE.,abstain,
15,Victor Perli,DIE LINKE.,abstain,
16,Sören Pellmann,DIE LINKE.,no_show,
17,Petra Pau,DIE LINKE.,abstain,
18,Zaklin Nastić,DIE LINKE.,abstain,
19,Cornelia Möhring,DIE LINKE.,abstain,
20,Amira Mohamed Ali,DIE LINKE.,abstain,
21,Pascal Meiser,DIE LINKE.,abstain,
22,Thomas Lutze,DIE LINKE.,abstain,
23,Gesine Lötzsch,DIE LINKE.,abstain,
24,Christian Leye,DIE LINKE.,no_show,
25,Ralph Lenkert,DIE LINKE.,abstain,
26,Caren Lay,DIE LINKE.,abstain,
27,Ina Latendorf,DIE LINKE.,abstain,
28,Jan Korte,DIE LINKE.,no_show,
29,Andrej Hunko,DIE LINKE.,abstain,
30,Susanne Hennig,DIE LINKE.,abstain,
31,André Hahn,DIE LINKE.,abstain,
32,Gregor Gysi,DIE LINKE.,abstain,
33,Ates Gürpinar,DIE LINKE.,abstain,
34,Christian Görke,DIE LINKE.,abstain,
35,Nicole Gohlke,DIE LINKE.,abstain,
36,Susanne Ferschl,DIE LINKE.,abstain,
37,Klaus Ernst,DIE LINKE.,abstain,
38,Anke Domscheit,DIE LINKE.,abstain,
39,Sevim Dağdelen,DIE LINKE.,no_show,
40,Clara Bünger,DIE LINKE.,abstain,
41,Matthias W. Birkwald,DIE LINKE.,abstain,
42,Dietmar Bartsch,DIE LINKE.,abstain,
43,Ali Al,DIE LINKE.,abstain,
44,Gökay Akbulut,DIE LINKE.,abstain,
45,Kay,AfD,no,
46,Joachim Wundrak,AfD,no,
47,Christian Wirth,AfD,no,
48,Wolfgang Wiehle,AfD,no,
49,Harald Weyel,AfD,no,
50,Alice Weidel,AfD,no,
51,Beatrix von Storch,AfD,no,
52,Klaus Stöber,AfD,no_show,
53,René Springer,AfD,no_show,
54,Dirk Spaniel,AfD,no,
55,Martin Sichert,AfD,no,
56,Thomas Seitz,AfD,no,
57,Uwe Schulz,AfD,no,
58,Jörg Schneider,AfD,no,
59,Jan Wenzel Schmidt,AfD,no,
60,Eugen Schmidt,AfD,no,
61,Ulrike Schielke,AfD,no,
62,Bernd Schattner,AfD,no,
63,Frank Rinck,AfD,no,
64,Martin Erwin Renner,AfD,no,
65,Martin Reichardt,AfD,no_show,
66,Stephan Protschka,AfD,no,
67,Jürgen Pohl,AfD,no_show,
68,Tobias Matthias Peterka,AfD,no,
69,Gerold Otten,AfD,no_show,
70,Jan Ralf Nolte,AfD,no,
71,Edgar Naujok,AfD,no,
72,Sebastian Münzenmaier,AfD,no,
73,Matthias Moosdorf,AfD,no_show,
74,Mike Moncsek,AfD,no,
75,Corinna Miazga,AfD,no_show,
76,Rüdiger Lucassen,AfD,no,
77,Barbara Benkstein,AfD,no,
78,Rainer Kraft,AfD,no,
79,Steffen Kotré,AfD,no_show,
80,Jörn König,AfD,no,
81,Enrico Komning,AfD,no,
82,Norbert Kleinwächter,AfD,no_show,
83,Stefan Keuter,AfD,no_show,
84,Michael Kaufmann,AfD,no,
85,Malte Kaufmann,AfD,no,
86,Marc Jongen,AfD,no,
87,Steffen Janich,AfD,no,
88,Fabian Jacobi,AfD,no,
89,Gerrit Huy,AfD,no,
90,Leif,AfD,no,
91,Nicole Höchst,AfD,no,
92,Karsten Hilse,AfD,no,
93,Martin Hess,AfD,no,
94,Jochen Haug,AfD,no,
95,Mariana Harder,AfD,no,
96,Kay Gottschalk,AfD,no,
97,Hannes Gnauck,AfD,no,
98,Albrecht Glaser,AfD,no,
99,Alexander Gauland,AfD,no,
100,Götz Frömming,AfD,no,
101,Markus Frohnmaier,AfD,no,
102,Dietmar Friedhoff,AfD,no,
103,Peter Felser,AfD,no,
104,Michael Espendiller,AfD,no,
105,Thomas Ehrhorn,AfD,no,
106,Thomas Dietz,AfD,no,
107,Gottfried Curio,AfD,no,
108,Tino Chrupalla,AfD,no,
109,Petr Bystron,AfD,no,
110,Marcus Bühl,AfD,no,
111,Jürgen Braun,AfD,no,
112,Stephan Brandner,AfD,no_show,
113,Dirk Brandes,AfD,no,
114,Gereon Bollmann,AfD,no,
115,Peter Boehringer,AfD,no,
116,René Bochmann,AfD,no,
117,Andreas Bleck,AfD,no,
118,Marc Bernhard,AfD,no,
119,Roger Beckamp,AfD,no,
120,Bernd Baumann,AfD,no,
121,Christina Baum,AfD,no,
122,Carolin Bachmann,AfD,no_show,
123,Volker Wissing,FDP,yes,
124,Nicole Westig,FDP,yes,
125,Sandra Weeser,FDP,no_show,
126,Johannes Vogel,FDP,yes,
127,Gerald Ullrich,FDP,yes,
128,Andrew Ullmann,FDP,yes,
129,Florian Toncar,FDP,yes,
130,Manfred Todtenhausen,FDP,yes,
131,Nico Tippelt,FDP,yes,
132,Stephan Thomae,FDP,yes,
133,Michael Theurer,FDP,no_show,
134,Jens Teutrine,FDP,yes,
135,Linda Teuteberg,FDP,abstain,
136,Benjamin Strasser,FDP,yes,
137,Marie,FDP,yes,
138,Konrad Stockmeier,FDP,yes,
139,Bettina Stark,FDP,yes,
140,Judith Skudelny,FDP,yes,
141,Rainer Semet,FDP,yes,
142,Stephan Seiter,FDP,yes,
143,Matthias Seestern,FDP,yes,
144,Anja Schulz,FDP,yes,
145,Ria Schröder,FDP,yes,
146,Frank Schäffler,FDP,yes,
147,Christian Sauter,FDP,abstain,
148,Bernd Reuther,FDP,yes,
149,Hagen Reinhold,FDP,yes,
150,Volker Redder,FDP,yes,
151,Claudia Raffelhüschen,FDP,yes,
152,Frank Müller,FDP,no_show,
153,Alexander Müller,FDP,yes,
154,Max Mordhorst,FDP,yes,
155,Christoph Meyer,FDP,yes,
156,Till Mansmann,FDP,yes,
157,Kristine Lütke,FDP,yes,
158,Oliver Luksic,FDP,no_show,
159,Michael Link,FDP,no_show,
160,Christian Lindner,FDP,yes,
161,Lars Lindemann,FDP,yes,
162,Thorsten Lieb,FDP,yes,
163,Jürgen Lenders,FDP,yes,
164,Ulrich Lechte,FDP,yes,
165,Alexander Graf Lambsdorff,FDP,yes,
166,Konstantin Kuhle,FDP,yes,
167,Wolfgang Kubicki,FDP,yes,
168,Michael Kruse,FDP,yes,
169,Carina Konrad,FDP,yes,
170,Lukas Köhler,FDP,yes,
171,Pascal Kober,FDP,yes,
172,Daniela Kluckert,FDP,yes,
173,Karsten Klein,FDP,yes,
174,Ann,FDP,yes,
175,Gyde Jensen,FDP,yes,
176,Olaf in der Beek,FDP,yes,
177,Reinhard Houben,FDP,yes,
178,Christoph Hoffmann,FDP,yes,
179,Manuel Höferlin,FDP,yes,
180,Gero Hocker,FDP,yes,
181,Katja Hessel,FDP,yes,
182,Torsten Herbst,FDP,yes,
183,Markus Herbrand,FDP,yes,
184,Katrin Helling,FDP,yes,
185,Peter Heidt,FDP,yes,
186,Ulrike Harzer,FDP,yes,
187,Philipp Hartewig,FDP,yes,
188,Reginald Hanke,FDP,yes,
189,Thomas Hacker,FDP,yes,
190,Nils Gründer,FDP,yes,
191,Anikó Glogowski,FDP,yes,
192,Knut Gerschau,FDP,yes,
193,Martin Gassner,FDP,yes,
194,Maximilian Funke,FDP,yes,
195,Otto Fricke,FDP,yes,
196,Daniel Föst,FDP,yes,
197,Marcus Faber,FDP,yes,
198,Christian Dürr,FDP,yes,
199,Bijan Djir,FDP,yes,
200,Carl,FDP,yes,
201,Karlheinz Busen,FDP,yes,
202,Marco Buschmann,FDP,yes,
203,Sandra Bubendorfer,FDP,yes,
204,Mario Brandenburg,FDP,yes,
205,Jens Brandenburg,FDP,yes,
206,Friedhelm Boginski,FDP,yes,
207,Ingo Bodtke,FDP,yes,
208,Jens Beeck,FDP,yes,
209,Nicole Bauer,FDP,yes,maternity_protection
210,Christine Aschenberg,FDP,yes,
211,Renata Alt,FDP,yes,
212,Muhanad Al,FDP,yes,
213,Katja Adler,FDP,abstain,
214,Valentin Abel,FDP,yes,
215,Tina Winklmann,BÜNDNIS 90/DIE GRÜNEN,yes,
216,Stefan Wenzel,BÜNDNIS 90/DIE GRÜNEN,no_show,
217,Saskia Weishaupt,BÜNDNIS 90/DIE GRÜNEN,yes,
218,Beate Walter,BÜNDNIS 90/DIE GRÜNEN,yes,
219,Johannes Wagner,BÜNDNIS 90/DIE GRÜNEN,yes,
220,Robin Wagener,BÜNDNIS 90/DIE GRÜNEN,yes,
221,Niklas Wagener,BÜNDNIS 90/DIE GRÜNEN,yes,
222,Julia Verlinden,BÜNDNIS 90/DIE GRÜNEN,yes,
223,Katrin Uhlig,BÜNDNIS 90/DIE GRÜNEN,yes,
